location,text,hashtags
My Quarantine 👉👉,"@rr25_ms @TalbertSwan @BarackObama I think everyone who can help should step up, like governors of many states already have.

#IgnoreTrump like he’s a useless piece of red tape and leave footprints on his bald head.

The governors and #WeThePeople will beat #COVID19 by pulling together. https://t.co/Zsw3YOfckD",[]
"London, England",No no no no NO!! #COVID19 is NOT taking my boy either!! You could almost think this is deliberate to save DLA/PIP and social care outlay couldn’t you....?! #JustSaying 🤷🏻‍♀️ https://t.co/DPmUxMmf2r,"[{'text': 'COVID19', 'indices': [37, 45]}]"
San Diego CA,👀 @JoeBiden just adopted two of @SenWarren's marquee proposals - canceling student debt + expanding social security - as part of his #COVID19 response plan. At this rate its going to be harder and harder to keep her off the ticket - #WarrenBiden2020 https://t.co/yQuDibHqPm,[]
,"Today @realdonaldtrump said he thinks we'll never need a national lockdown to combat the spread of #COVID19. As an ER doc on the front lines against this virus, I think he's totally wrong &amp; that we should impose a national ""shelter in place"" right now. This is important.  (1/10)","[{'text': 'COVID19', 'indices': [118, 126]}]"
"Auckland, New Zealand","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
mid-west America ,"Hydroxychloroquine paired w/ azithromycin for 6 days will kill #COVID19 @realDonaldTrump @Surgeon_General there is a successful controlled study published now
@DrNancyM_CDC
 scientists &amp; 
@CDCgov
@CDCDirector
Fast Tract these drugs for production &amp; distribution to US then Italy👇🏼 https://t.co/KS8i44lIMi","[{'text': 'COVID19', 'indices': [83, 91]}]"
,"#HuntingtonBeach pier, boardwalk and beaches packed with people. Of the dozen or so people we spoke with on and off camera most said they were not concerned with #covid19 and would not let social distancing orders disrupt their lives @nbcla #news #orangecounty https://t.co/eSuJbip8tH","[{'text': 'HuntingtonBeach', 'indices': [19, 35]}]"
,"Florida Surgeon General Rivkees tells lawmakers on a call that he can't predict best or worst case scenario of possible positive #COVID19 cases in our state. No projections. No estimates. We're just ""bracing for the worst."" If NY and CA can make estimates, why can't Florida?",[]
,BREAKING: Our collective action is working. Senate Democrats just voted down #MoscowMitchVirus &amp; the proposed Republican handout to corporations rather than working class Americans who need the most assistance in this time of crisis. Time to double down #FamiliesFirst #COVID19 https://t.co/uV3hn1OkVm,"[{'text': 'MoscowMitchVirus', 'indices': [94, 111]}]"
"Calgary, Alberta","🚨BREAKING: Harvey #Weinstein has been placed into isolation in a New York prison after testing positive for #coronavirus.

#COVID19 #CoronavirusPandemic 
https://t.co/JILnNLJ5fp","[{'text': 'Weinstein', 'indices': [37, 47]}, {'text': 'coronavirus', 'indices': [127, 139]}]"
"Kitchener, Ontario","We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly","[{'text': 'COVID19', 'indices': [161, 169]}, {'text': 'WeStandWithItaly', 'indices': [170, 187]}]"
,Monday at 10 am EDT: Join the Tweetstorm to urge Congress to #FundChildCare in the emergency #StimulusPackage. @ChildCareAware @NAEYC @ZEROTOTHREE @ECEConsortium #coronavirus #COVID19 #ece,"[{'text': 'FundChildCare', 'indices': [80, 94]}, {'text': 'StimulusPackage', 'indices': [112, 128]}]"
日本 静岡,"How do you play #TableTennis during #quarantine?🏓🤔😜

#SundayVibes #COVID19 #SafeTableTennis #BLOCKcovid19 #FlattenTheCurve #KeepFitStayHealthy https://t.co/Sk6DAdmnlz","[{'text': 'TableTennis', 'indices': [31, 43]}, {'text': 'quarantine', 'indices': [51, 62]}, {'text': 'SundayVibes', 'indices': [68, 80]}, {'text': 'COVID19', 'indices': [81, 89]}, {'text': 'SafeTableTennis', 'indices': [90, 106]}, {'text': 'BLOCKcovid19', 'indices': [107, 120]}, {'text': 'FlattenTheCurve', 'indices': [121, 137]}]"
NYC,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
Falkville,"So my favorite guy turned the big 5-0 today. I couldn’t surprise him with a big party because of the #COVID19 , but several friends and family sent video wishes. Thank you!  @livinglegend55 @Coach_CTyson @JevWindham @FHS_CoachEstes @coachcurd https://t.co/gXMqFss2MR","[{'text': 'COVID19', 'indices': [120, 128]}]"
,"I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]"
"Galway, Ireland","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
,im obsessed w this video #coronavirus #COVID19 https://t.co/UZjWWTsnE9,"[{'text': 'coronavirus', 'indices': [25, 37]}, {'text': 'COVID19', 'indices': [38, 46]}]"
"Eugene, OR","Someone hit a nerve.

Q: Did you or your family sell stocks or make investments in advance of the #COVID19 crisis?

Trump: ""No, I don't have stocks...I didn't even think about [making investments]...it's very interesting that you asked a question like that...a nasty question..."" https://t.co/EpjI70kNr1","[{'text': 'COVID19', 'indices': [116, 124]}]"
"Toronto, Ontario",📹 Check out Greg Blanchard's live interview with Woodbine Entertainment CEO Jim Lawson discussing the state of racing amid the #COVID19 pandemic ➡️ https://t.co/LJMDXjWl2N #harnessracing https://t.co/ZAtbElKe01,[]
,"Thank you everyone out there keeping us going. Thank you for reminding us of the best in people and for doing what you do. 
You are all heroes.

Much love @allontheboard
#ThankYou #coronavirus #COVID19 #lockdownuk #londonlockdown #ThankYouNHS https://t.co/w9gbdvD8GS",[]
Islamabad/Rawalpindi-New York ,MITT ROMNEY TESTS PRESUMPTIVE POSITIVE FOR #COVID19,"[{'text': 'COVID19', 'indices': [60, 68]}]"
Australia,"The resilience of the #coops model makes them a vital pillar for communities facing the #Covid19 crisis, Australian sector body @BCCM_AU tells ministers #coronavirus #mutuals @icacoop https://t.co/oNKCvWK9AL","[{'text': 'coops', 'indices': [36, 42]}, {'text': 'Covid19', 'indices': [102, 110]}]"
Everytown USA.,"BREAKING:

@SpeakerPelosi is officially one of the worst human beings our Country currently knows....

Using the CoronaVirus for her own political schemes....utterly shameful! 

Disgraceful....

RT! 

#COVID19",[]
"Port Harcourt, Nigeria , UK",WOW: Atiku's Son Tests Positive To Coronavirus https://t.co/WDgdWZO4Ix via @novice2star #covid19 #covic,"[{'text': 'covid19', 'indices': [88, 96]}, {'text': 'covic', 'indices': [97, 103]}]"
,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
Singapore,"Another 8am hospital run, possibly the final blood test before arranging for my elective surgery. Glad to be in a health care system where this is still possible during #covid19 

It’s not cheap but at least I know where my tax money is going to. #socialdistancing https://t.co/sQMwpaaIAv","[{'text': 'covid19', 'indices': [169, 177]}, {'text': 'socialdistancing', 'indices': [247, 264]}]"
Algiers. Algeria .NORTH Africa,"Q: What precautions can we take while at lunch during the #coronavirus outbreak?

A: 
⇨ Wash hands before taking off your mask
⇨ Stagger lunch breaks &amp; avoid going out
⇨ Avoid talking while eating
⇨ Minimise face-to-face meals
⇨ Order individual meals

#knowthefacts #COVID19 https://t.co/aaInuHl4QK","[{'text': 'coronavirus', 'indices': [70, 82]}]"
,"""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
Baltimore MD Citizen 2012 ,Apparently DOCTOR Rand Paul didn’t quite get the (obvious) message that everyone must self-quarantine while awaiting results of a #COVID19 test. Completely defeats the point of testing if that’s not done. https://t.co/KdCz8MU3b8,[]
"Ottawa, ON","Honestly every business open should be required to provide hand sanitizer at entrances and exists. Customers should be using it as they enter and leave. I’m seeing online that some places, including some @walmart locations, do not have this set up. #COVID19 #WashYourHands",[]
,"1/n A note on testing- not all labs are reporting yet (or promptly), but the ones that do, report that 90% of tests (which are usually people exposed or w/ symptoms) are #COVID19 negative. That means even among the highest risk people, most don’t have #coronavirus...",[]
"Melbourne, Australia","""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
Your dreams,"Let's hear it for the farm workers, the essential workers who are still out in the fields laboring hard to keep food on our tables and supermarket shelves. Let's let them know how much we appreciate the hard work they do to keep us fed during the #COVID19 pandemic. #WeFeedYou https://t.co/QQHyBSGujW",[]
"New Jersey, USA","We continue to request federal assistance as New Jersey is hit hard by #COVID19:
 
☑️ Personal protective equipment for our frontline workers
☑️ Direct cash assistance for workers, small and large businesses, and the entire state https://t.co/HTzvgaZ734","[{'text': 'COVID19', 'indices': [86, 94]}]"
